Maxes: size of table (n, m): 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	0.00999	
2	0.01999	0.01999	0.0422011	0.0907879	0.17569	0.309395	0.506241	0.782188	1.1547	1.64268	2.26643	3.04756	4.00902	5.17502	6.57103	8.22371	10.161	12.4118	15.0065	17.9763	21.3538	25.1724	29.4669	34.273	39.6275	45.5681	52.1338	59.3645	67.3011	75.9855	85.4605	95.7702	106.959	119.074	132.16	146.266	161.44	177.733	195.194	213.875	233.828	255.107	277.766	301.859	327.443	354.575	383.311	413.712	445.835	479.742	515.493	553.15	592.777	634.437	678.194	724.113	772.262	822.706	875.513	930.752	988.493	1048.81	1111.76	1177.43	1245.88	1317.2	1391.45	1468.71	1549.05	1632.56	1719.3	1809.36	1902.82	1999.75	2100.24	2204.36	2312.2	2423.84	2539.36	2658.86	2782.4	2910.08	3041.99	3178.21	3318.83	3463.93	3613.61	3767.96	3927.06	4091.02	4259.91	4433.83	4612.89	4797.16	4986.75	5181.75	5382.25	5588.36	5800.18	6017.79	6241.3	6470.81	
3	0.02999	0.02999	0.0522122	0.100823	0.185768	0.319539	0.516484	0.792569	1.16527	1.6535	2.27755	3.05907	4.02102	5.1876	6.5843	8.23782	10.176	12.428	15.024	17.9953	21.3744	25.195	29.4917	34.3001	39.6573	45.6009	52.1699	59.4042	67.3448	76.0335	85.5133	95.8281	107.023	119.143	132.236	146.349	161.531	177.832	195.302	213.992	233.956	255.245	277.915	302.021	327.617	354.763	383.514	413.929	446.069	479.993	515.762	553.438	593.085	634.766	678.545	724.487	772.66	823.129	875.963	931.23	989	1049.34	1112.33	1178.03	1246.52	1317.87	1392.16	1469.46	1549.84	1633.39	1720.18	1810.29	1903.79	2000.77	2101.31	2205.48	2313.37	2425.07	2540.65	2660.21	2783.81	2911.56	3043.53	3179.82	3320.51	3465.68	3615.44	3769.86	3929.05	4093.08	4262.06	4436.07	4615.22	4799.58	4989.26	5184.36	5384.96	5591.18	5803.1	6020.82	6244.44	6474.06	
4	0.03998	0.03998	0.0621911	0.096896	0.134044	0.159624	0.154638	0.0947146	-0.0500823	-0.315357	-0.742454	-1.3785	-2.27644	-3.49508	-5.09904	-7.15887	-9.75097	-12.9576	-16.8671	-21.5733	-27.1764	-33.7822	-41.5024	-50.4547	-60.7627	-72.5557	-85.9691	-101.144	-118.227	-137.372	-158.737	-182.487	-208.792	-237.829	-269.778	-304.83	-343.176	-385.017	-430.558	-480.009	-533.589	-591.519	-654.027	-721.349	-793.724	-871.397	-954.62	-1043.65	-1138.75	-1240.19	-1348.24	-1463.18	-1585.3	-1714.89	-1852.25	-1997.68	-2151.48	-2313.98	-2485.48	-2666.32	-2856.83	-3057.34	-3268.2	-3489.75	-3722.35	-3966.35	-4222.12	-4490.04	-4770.47	-5063.79	-5370.4	-5690.69	-6025.05	-6373.88	-6737.61	-7116.63	-7511.38	-7922.27	-8349.74	-8794.23	-9256.17	-9736.01	-10234.2	-10751.2	-11287.5	-11843.6	-12419.8	-13016.8	-13635	-14274.8	-14936.8	-15621.5	-16329.4	-17061	-17816.8	-18597.4	-19403.2	-20234.9	-21092.9	-21977.7	-22890.1	-23830.4	
5	0.04997	0.04997	0.07217	0.106844	0.143925	0.169384	0.164199	0.103969	-0.0412724	-0.307168	-0.735103	-1.37225	-2.2716	-3.49201	-5.09818	-7.16069	-9.75603	-12.9666	-16.8805	-21.5921	-27.2014	-33.8143	-41.5426	-50.5043	-60.8227	-72.6276	-86.0543	-101.244	-118.344	-137.507	-158.892	-182.664	-208.994	-238.057	-270.036	-305.118	-343.499	-385.377	-430.958	-480.453	-534.08	-592.06	-654.623	-722.002	-794.439	-872.178	-955.471	-1044.58	-1139.76	-1241.28	-1349.42	-1464.46	-1586.68	-1716.38	-1853.85	-1999.39	-2153.32	-2315.95	-2487.59	-2668.58	-2859.24	-3059.91	-3270.94	-3492.67	-3725.45	-3969.65	-4225.62	-4493.75	-4774.4	-5067.95	-5374.8	-5695.34	-6029.96	-6379.07	-6743.08	-7122.4	-7517.45	-7928.66	-8356.46	-8801.29	-9263.58	-9743.79	-10242.4	-10759.8	-11296.5	-11853	-12429.7	-13027.1	-13645.7	-14286.1	-14948.6	-15633.8	-16342.2	-17074.4	-17830.8	-18611.9	-19418.4	-20250.6	-21109.2	-21994.8	-22907.8	-23848.8	
6	0.05996	0.05996	0.08216	0.116841	0.159499	0.209228	0.269081	0.346815	0.455672	0.615105	0.851436	1.19845	1.69795	2.40023	3.36452	4.65941	6.36325	8.56444	11.3618	14.8649	19.1942	24.4817	30.8705	38.5158	47.5846	58.2562	70.7222	85.1868	101.867	120.993	142.807	167.566	195.539	227.01	262.276	301.647	345.448	394.018	447.71	506.891	571.943	643.262	721.259	806.36	899.005	999.65	1108.77	1226.84	1354.36	1491.86	1639.87	1798.92	1969.59	2152.44	2348.09	2557.12	2780.18	3017.9	3270.93	3539.95	3825.65	4128.74	4449.93	4789.97	5149.6	5529.6	5930.75	6353.86	6799.75	7269.25	7763.21	8282.51	8828.03	9400.68	10001.4	10631	11290.6	11981.1	12703.5	13458.8	14248	15072.2	15932.4	16829.7	17765.1	18739.8	19754.9	20811.6	21911	23054.3	24242.6	25477.2	26759.4	28090.3	29471.3	30903.5	32388.4	33927.2	35521.2	37171.9	38880.5	40648.6	
7	0.06994	0.06994	0.0921289	0.126792	0.169435	0.219163	0.279051	0.356884	0.46594	0.625719	0.862595	1.21042	1.71107	2.41492	3.38129	4.6789	6.38618	8.59168	11.3944	14.9039	19.241	24.5377	30.9374	38.5955	47.6792	58.3679	70.8536	85.3406	102.046	121.201	143.047	167.842	195.856	227.372	262.687	302.113	345.974	394.61	448.374	507.635	572.773	644.185	722.284	807.495	900.259	1001.03	1110.28	1228.5	1356.19	1493.86	1642.04	1801.29	1972.17	2155.25	2351.12	2560.41	2783.73	3021.73	3275.06	3544.4	3830.43	4133.87	4455.43	4795.86	5155.9	5536.33	5937.94	6361.53	6807.92	7277.95	7772.46	8292.34	8838.47	9411.75	10013.1	10643.5	11303.8	11995.1	12718.2	13474.4	14264.4	15089.5	15950.6	16848.8	17785.2	18761	19777.2	20835	21935.6	23080	24269.6	25505.6	26789.1	28121.4	29503.8	30937.5	32423.9	33964.3	35560	37212.4	38922.8	40692.7	
8	0.07991	0.07991	0.102077	0.136691	0.179246	0.227286	0.279012	0.332289	0.383773	0.428068	0.456904	0.458343	0.415988	0.308226	0.107487	-0.22048	-0.717302	-1.43266	-2.42494	-3.7619	-5.52123	-7.79121	-10.6713	-14.2725	-18.7184	-24.1451	-30.7021	-38.5528	-47.8749	-58.8607	-71.7181	-86.6704	-103.957	-123.835	-146.577	-172.473	-201.833	-234.983	-272.268	-314.053	-360.722	-412.678	-470.345	-534.167	-604.608	-682.156	-767.317	-860.621	-962.618	-1073.88	-1195.01	-1326.63	-1469.37	-1623.9	-1790.92	-1971.14	-2165.29	-2374.15	-2598.49	-2839.14	-3096.94	-3372.74	-3667.44	-3981.96	-4317.24	-4674.26	-5054	-5457.5	-5885.81	-6340.01	-6821.21	-7330.54	-7869.17	-8438.29	-9039.12	-9672.92	-10341	-11044.6	-11785	-12563.8	-13382.2	-14241.7	-15143.8	-16089.9	-17081.6	-18120.3	-19207.8	-20345.6	-21535.4	-22778.8	-24077.5	-25433.3	-26848	-28323.4	-29861.3	-31463.5	-33132	-34868.8	-36675.8	-38554.9	-40508.3	-42538	
9	0.08987	0.08987	0.112014	0.146587	0.189078	0.237026	0.288619	0.341707	0.392922	0.436835	0.465138	0.465839	0.422482	0.313381	0.110878	-0.219375	-0.719119	-1.43816	-2.43504	-3.77765	-5.54388	-7.8222	-10.7122	-14.3254	-18.7852	-24.2283	-30.8043	-38.677	-48.0244	-59.0392	-71.9296	-86.9193	-104.248	-124.174	-146.969	-172.924	-202.35	-235.573	-272.94	-314.814	-361.581	-413.645	-471.43	-535.381	-605.964	-683.664	-768.992	-862.475	-964.668	-1076.14	-1197.5	-1329.36	-1472.36	-1627.18	-1794.5	-1975.04	-2169.53	-2378.76	-2603.49	-2844.56	-3102.8	-3379.07	-3674.27	-3989.32	-4325.16	-4682.77	-5063.14	-5467.31	-5896.32	-6351.25	-6833.22	-7343.37	-7882.86	-8452.88	-9054.67	-9689.46	-10358.5	-11063.2	-11804.9	-12584.8	-13404.5	-14265.3	-15168.8	-16116.3	-17109.5	-18149.8	-19239	-20378.4	-21570	-22815.2	-24115.9	-25473.7	-26890.5	-28368	-29908.1	-31512.7	-33183.6	-34922.9	-36732.4	-38614.3	-40570.5	-42603	
